Indicativo;31/01/2020;29/02/2020;31/03/2020;30/04/2020;31/05/2020;30/06/2020;31/07/2020;31/08/2020;30/09/2020;31/10/2020;30/11/2020;31/12/2020;anual;Año
0016A;9.0;12.5;12.4;14.8;19.6;21.6;25.8;26.3;21.9;16.9;13.8;9.9;17.0;2020
9981A;9.8;14.6;14.2;16.2;21.7;23.2;27.7;28.0;24.1;18.7;15.0;11.2;18.7;2020
9381I;4.4;8.6;8.4;12.3;16.4;18.4;22.8;22.1;17.2;11.4;8.6;4.9;13.0;2020
8368U;4.8;9.0;8.9;12.8;16.9;19.9;24.5;23.6;18.1;11.8;9.6;5.1;13.8;2020
3260B;7.6;10.8;12.0;14.7;20.6;23.6;29.6;26.9;22.2;15.4;12.1;8.1;17.0;2020
8416;11.9;15.6;14.8;16.4;21.3;23.2;26.3;27.1;23.7;19.5;16.0;13.0;19.1;2020
8414A;10.4;14.5;13.7;16.1;20.8;23.3;26.4;27.0;23.4;18.4;15.1;11.5;18.4;2020
2422;4.6;9.6;9.9;13.1;17.8;19.6;24.7;22.7;19.2;12.8;10.1;5.8;14.2;2020
2539;3.9;7.9;8.3;11.0;15.8;17.4;22.7;20.7;17.7;11.2;9.1;;;2020
2614;5.0;9.7;10.3;13.1;18.8;20.1;25.4;23.1;19.8;13.0;9.8;;;2020
9390;4.7;9.1;9.0;12.9;17.2;19.2;23.4;23.2;18.2;12.4;9.3;5.6;13.7;2020
9434;6.5;11.5;11.6;15.7;20.5;22.3;26.6;26.2;21.9;15.4;11.6;7.9;16.5;2020
