Indicativo;31/01/2022;28/02/2022;31/03/2022;30/04/2022;31/05/2022;30/06/2022;31/07/2022;31/08/2022;30/09/2022;31/10/2022;30/11/2022;31/12/2022;anual;Año
C449C;63.2;55.0;40.4;8.2;0.2;0.2;0.6;1.8;107.4;1.4;1.4;33.8;313.6;2022
C447A;97.3;69.3;60.9;33.3;4.8;14.0;6.1;3.9;177.3;21.7;8.7;79.0;576.3;2022
C429I;13.9;9.3;9.7;17.2;1.6;0.0;0.0;9.4;108.6;0.0;0.0;61.9;231.6;2022
2465;21.2;3.6;106.2;48.8;15.2;8.0;8.2;3.6;28.9;28.2;76.8;105.0;453.7;2022
5796;2.1;8.4;149.4;70.4;6.6;0.0;0.0;0.2;10.4;19.3;27.7;121.3;415.8;2022
5783;0.5;2.1;97.6;63.4;6.4;0.0;0.0;1.7;5.9;30.7;21.4;133.5;363.2;2022
2030;3.0;6.4;77.0;48.2;14.8;6.2;1.0;21.2;13.4;46.0;66.0;90.2;393.4;2022
0016A;0.0;0.0;70.5;72.5;29.7;18.2;9.6;28.7;147.9;45.1;3.0;37.3;462.5;2022
9981A;6.8;0.8;92.6;81.6;33.8;11.4;18.8;32.0;98.8;6.2;58.3;21.5;462.6;2022
9381I;6.4;1.2;60.2;67.0;34.2;4.8;37.4;28.4;60.2;35.6;42.4;47.6;425.4;2022
8368U;1.2;2.0;45.2;64.8;23.6;7.4;28.6;10.8;144.8;9.4;42.4;29.0;409.2;2022
3260B;9.5;5.6;77.0;79.2;9.2;3.0;0.0;0.2;16.4;16.8;29.2;105.6;351.7;2022
8416;11.9;5.9;195.3;82.7;237.9;3.4;3.5;19.4;30.2;29.5;48.4;12.7;680.8;2022
8414A;12.3;8.5;182.0;87.1;154.6;1.8;1.0;25.4;12.5;32.5;211.1;13.1;741.9;2022
2422;8.6;2.9;45.6;60.2;6.6;21.2;2.4;8.8;17.2;71.6;48.0;141.0;434.1;2022
2539;7.3;2.5;65.0;53.8;7.9;14.5;2.8;26.1;10.2;79.7;44.0;120.1;433.9;2022
2614;2.0;1.4;43.2;35.6;17.0;22.4;2.8;32.2;27.2;53.8;33.4;116.8;387.8;2022
9390;12.2;0.0;67.4;39.4;45.6;16.4;1.6;11.6;11.6;12.8;29.8;42.2;290.6;2022
9434;7.4;0.8;33.6;31.0;13.8;9.4;8.4;25.8;12.4;6.2;29.8;35.6;214.2;2022
